k,error,accuracy
1059,1798,80.06209802616988
1061,1800,80.03992015968065
1063,1800,80.03992015968065
1065,1801,80.02883122643601
1067,1802,80.01774229319139
1069,1802,80.01774229319139
1071,1804,79.99556442670215
1073,1804,79.99556442670215
1075,1804,79.99556442670215
1077,1805,79.98447549345752
1079,1806,79.97338656021292
1081,1805,79.98447549345752
1083,1806,79.97338656021292
1085,1806,79.97338656021292
1087,1807,79.96229762696828
1089,1806,79.97338656021292
1091,1807,79.96229762696828
1093,1807,79.96229762696828
1095,1807,79.96229762696828
1097,1807,79.96229762696828
1099,1808,79.95120869372366
1101,1808,79.95120869372366
1103,1809,79.94011976047905
1105,1809,79.94011976047905
1107,1809,79.94011976047905
1109,1809,79.94011976047905
1111,1808,79.95120869372366
1113,1807,79.96229762696828
1115,1807,79.96229762696828
1117,1807,79.96229762696828
1119,1808,79.95120869372366
1121,1806,79.97338656021292
1123,1806,79.97338656021292
1125,1807,79.96229762696828
1127,1808,79.95120869372366
1129,1808,79.95120869372366
1131,1810,79.92903082723441
1133,1810,79.92903082723441
1135,1810,79.92903082723441
1137,1809,79.94011976047905
1139,1809,79.94011976047905
1141,1809,79.94011976047905
1143,1809,79.94011976047905
1145,1810,79.92903082723441
1147,1810,79.92903082723441
1149,1809,79.94011976047905
1151,1809,79.94011976047905
1153,1809,79.94011976047905
1155,1809,79.94011976047905
1157,1809,79.94011976047905
1159,1812,79.90685296074518
1161,1813,79.89576402750056
1163,1812,79.90685296074518
1165,1813,79.89576402750056
1167,1814,79.88467509425593
1169,1814,79.88467509425593
1171,1813,79.89576402750056
1173,1815,79.87358616101132
1175,1814,79.88467509425593
1177,1815,79.87358616101132
1179,1816,79.8624972277667
1181,1816,79.8624972277667
1183,1816,79.8624972277667
1185,1816,79.8624972277667
1187,1816,79.8624972277667
1189,1817,79.85140829452206
1191,1817,79.85140829452206
1193,1816,79.8624972277667
1195,1816,79.8624972277667
1197,1815,79.87358616101132
1199,1816,79.8624972277667
1201,1816,79.8624972277667
1203,1816,79.8624972277667
1205,1816,79.8624972277667
1207,1816,79.8624972277667
1209,1816,79.8624972277667
1211,1816,79.8624972277667
1213,1817,79.85140829452206
1215,1817,79.85140829452206
1217,1818,79.84031936127745
1219,1817,79.85140829452206
1221,1816,79.8624972277667
1223,1815,79.87358616101132
1225,1816,79.8624972277667
1227,1817,79.85140829452206
1229,1818,79.84031936127745
1231,1818,79.84031936127745
1233,1818,79.84031936127745
1235,1818,79.84031936127745
1237,1816,79.8624972277667
1239,1817,79.85140829452206
1241,1816,79.8624972277667
1243,1816,79.8624972277667
1245,1817,79.85140829452206
1247,1818,79.84031936127745
1249,1820,79.8181414947882
1251,1820,79.8181414947882
1253,1823,79.78487469505433
1255,1823,79.78487469505433
1257,1826,79.75160789532048
1259,1827,79.74051896207584
1261,1826,79.75160789532048
1263,1826,79.75160789532048
1265,1826,79.75160789532048
1267,1828,79.72943002883123
1269,1828,79.72943002883123
1271,1829,79.71834109558661
1273,1830,79.70725216234197
1275,1830,79.70725216234197
1277,1831,79.69616322909737
1279,1833,79.67398536260811
1281,1834,79.6628964293635
1283,1833,79.67398536260811
1285,1833,79.67398536260811
1287,1833,79.67398536260811
1289,1836,79.64071856287424
1291,1836,79.64071856287424
1293,1838,79.61854069638501
1295,1838,79.61854069638501
1297,1837,79.62962962962963
1299,1837,79.62962962962963
1301,1836,79.64071856287424
1303,1836,79.64071856287424
1305,1836,79.64071856287424
1307,1836,79.64071856287424
1309,1836,79.64071856287424
1311,1837,79.62962962962963
1313,1837,79.62962962962963
1315,1837,79.62962962962963
1317,1837,79.62962962962963
1319,1838,79.61854069638501
1321,1839,79.60745176314039
1323,1838,79.61854069638501
1325,1838,79.61854069638501
1327,1838,79.61854069638501
1329,1839,79.60745176314039
1331,1839,79.60745176314039
1333,1839,79.60745176314039
1335,1839,79.60745176314039
1337,1840,79.59636282989577
1339,1840,79.59636282989577
1341,1841,79.58527389665115
1343,1842,79.57418496340652
1345,1846,79.52982923042804
1347,1846,79.52982923042804
1349,1846,79.52982923042804
1351,1846,79.52982923042804
1353,1846,79.52982923042804
1355,1846,79.52982923042804
1357,1846,79.52982923042804
1359,1846,79.52982923042804
1361,1846,79.52982923042804
1363,1847,79.51874029718341
1365,1846,79.52982923042804
1367,1848,79.50765136393879
1369,1848,79.50765136393879
1371,1849,79.49656243069415
1373,1849,79.49656243069415
1375,1850,79.48547349744955
1377,1850,79.48547349744955
1379,1850,79.48547349744955
1381,1849,79.49656243069415
1383,1849,79.49656243069415
1385,1849,79.49656243069415
1387,1849,79.49656243069415
1389,1848,79.50765136393879
1391,1848,79.50765136393879
1393,1848,79.50765136393879
1395,1849,79.49656243069415
1397,1849,79.49656243069415
1399,1850,79.48547349744955
1401,1851,79.47438456420493
1403,1852,79.4632956309603
1405,1851,79.47438456420493
1407,1852,79.4632956309603
1409,1852,79.4632956309603
1411,1852,79.4632956309603
1413,1852,79.4632956309603
1415,1852,79.4632956309603
1417,1852,79.4632956309603
1419,1854,79.44111776447106
1421,1854,79.44111776447106
1423,1854,79.44111776447106
1425,1856,79.41893989798182
1427,1856,79.41893989798182
1429,1856,79.41893989798182
1431,1857,79.4078509647372
1433,1857,79.4078509647372
1435,1857,79.4078509647372
1437,1857,79.4078509647372
1439,1856,79.41893989798182
1441,1855,79.43002883122644
1443,1857,79.4078509647372
1445,1857,79.4078509647372
1447,1858,79.39676203149257
1449,1857,79.4078509647372
1451,1858,79.39676203149257
1453,1858,79.39676203149257
1455,1858,79.39676203149257
1457,1858,79.39676203149257
1459,1858,79.39676203149257
1461,1858,79.39676203149257
1463,1858,79.39676203149257
1465,1858,79.39676203149257
1467,1858,79.39676203149257
1469,1859,79.38567309824795
1471,1859,79.38567309824795
1473,1858,79.39676203149257
1475,1858,79.39676203149257
1477,1858,79.39676203149257
1479,1858,79.39676203149257
1481,1858,79.39676203149257
1483,1858,79.39676203149257
1485,1858,79.39676203149257
1487,1859,79.38567309824795
1489,1859,79.38567309824795
1491,1859,79.38567309824795
1493,1859,79.38567309824795
1495,1859,79.38567309824795
1497,1859,79.38567309824795
1499,1859,79.38567309824795
1501,1859,79.38567309824795
1503,1859,79.38567309824795
1505,1860,79.37458416500333
1507,1859,79.38567309824795
1509,1860,79.37458416500333
1511,1860,79.37458416500333
1513,1860,79.37458416500333
1515,1860,79.37458416500333
1517,1860,79.37458416500333
1519,1860,79.37458416500333
1521,1860,79.37458416500333
1523,1860,79.37458416500333
1525,1861,79.3634952317587
1527,1861,79.3634952317587
1529,1860,79.37458416500333
1531,1860,79.37458416500333
1533,1860,79.37458416500333
1535,1860,79.37458416500333
1537,1860,79.37458416500333
1539,1860,79.37458416500333
1541,1860,79.37458416500333
1543,1861,79.3634952317587
1545,1861,79.3634952317587
1547,1861,79.3634952317587
1549,1861,79.3634952317587
1551,1861,79.3634952317587
1553,1861,79.3634952317587
1555,1860,79.37458416500333
1557,1860,79.37458416500333
1559,1860,79.37458416500333
1561,1860,79.37458416500333
1563,1860,79.37458416500333
1565,1861,79.3634952317587
1567,1861,79.3634952317587
1569,1861,79.3634952317587
1571,1862,79.35240629851408
1573,1862,79.35240629851408
1575,1862,79.35240629851408
1577,1862,79.35240629851408
1579,1862,79.35240629851408
1581,1862,79.35240629851408
1583,1862,79.35240629851408
1585,1862,79.35240629851408
1587,1862,79.35240629851408
1589,1862,79.35240629851408
1591,1862,79.35240629851408
1593,1862,79.35240629851408
1595,1861,79.3634952317587
1597,1860,79.37458416500333
1599,1860,79.37458416500333
1601,1860,79.37458416500333
1603,1860,79.37458416500333
1605,1861,79.3634952317587
1607,1860,79.37458416500333
1609,1861,79.3634952317587
1611,1861,79.3634952317587
1613,1861,79.3634952317587
1615,1861,79.3634952317587
1617,1861,79.3634952317587
1619,1861,79.3634952317587
1621,1861,79.3634952317587
1623,1860,79.37458416500333
1625,1859,79.38567309824795
1627,1859,79.38567309824795
1629,1859,79.38567309824795
1631,1859,79.38567309824795
1633,1858,79.39676203149257
1635,1857,79.4078509647372
1637,1857,79.4078509647372
1639,1857,79.4078509647372
1641,1857,79.4078509647372
1643,1857,79.4078509647372
1645,1857,79.4078509647372
1647,1858,79.39676203149257
1649,1857,79.4078509647372
1651,1856,79.41893989798182
1653,1855,79.43002883122644
1655,1855,79.43002883122644
1657,1855,79.43002883122644
